CURSO;MODULO;URL;LINEA
SANACION ENERGETICA INTEGRAL;10;https://video.wixstatic.com/video/4ea8bc_cbb55669445a4d51ac2545d635a8d72e/720p/mp4/file.mp4;DIPLOMADOS
SANACION ENERGETICA INTEGRAL;11;https://video.wixstatic.com/video/4ea8bc_91a8839081074f729ac99601fa8f8381/720p/mp4/file.mp4;DIPLOMADOS
SANACION ENERGETICA INTEGRAL;12;https://video.wixstatic.com/video/4ea8bc_1daf100884fe415abd2dcabe031b00ef/720p/mp4/file.mp4;DIPLOMADOS
SANACION ENERGETICA INTEGRAL;13;https://video.wixstatic.com/video/4ea8bc_82a91bcab2fc4dab9e02e429485c80c5/720p/mp4/file.mp4;DIPLOMADOS
SANACION ENERGETICA INTEGRAL;14;https://video.wixstatic.com/video/4ea8bc_c57e54cfab1243a2a46f2bbb27c95149/720p/mp4/file.mp4;DIPLOMADOS
SANACION ENERGETICA INTEGRAL;15;https://video.wixstatic.com/video/4ea8bc_b638244705c843608d7cef63787817a8/720p/mp4/file.mp4;DIPLOMADOS
SANACION ENERGETICA INTEGRAL;16;https://video.wixstatic.com/video/4ea8bc_bd5fa15a46e343b6b38bf814324d8e40/720p/mp4/file.mp4;DIPLOMADOS
SANACION ENERGETICA INTEGRAL;17;https://video.wixstatic.com/video/4ea8bc_1b0f9400eceb4884847b94706e85868a/720p/mp4/file.mp4;DIPLOMADOS
SANACION ENERGETICA INTEGRAL;18;https://video.wixstatic.com/video/4ea8bc_6e2d787d86414f58be26d540da54b7b0/720p/mp4/file.mp4;DIPLOMADOS
SANACION ENERGETICA INTEGRAL;19;https://video.wixstatic.com/video/4ea8bc_30d9d318c38c4570b9b52b6742dced0f/720p/mp4/file.mp4;DIPLOMADOS
SANACION ENERGETICA INTEGRAL;20;https://video.wixstatic.com/video/4ea8bc_c3e0e4d4c1b742acb246d12262fc2571/720p/mp4/file.mp4;DIPLOMADOS
SANACION ENERGETICA INTEGRAL;21;https://video.wixstatic.com/video/4ea8bc_b029580f276d459a896129f3d69d2e94/720p/mp4/file.mp4;DIPLOMADOS
SANACION ENERGETICA INTEGRAL;22;https://video.wixstatic.com/video/4ea8bc_18c96014039f4f07b6393db922c1b7f5/720p/mp4/file.mp4;DIPLOMADOS
SANACION ENERGETICA INTEGRAL;23;https://video.wixstatic.com/video/4ea8bc_c1803a94dba94f73998be924c38dcc85/720p/mp4/file.mp4;DIPLOMADOS
SANACION ENERGETICA INTEGRAL;24;https://video.wixstatic.com/video/4ea8bc_8403602bdf744e67b04fb318b3ab327e/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;1;https://video.wixstatic.com/video/4ea8bc_641ce1fd1a49471b955a4aa44ec65bc6/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;2;https://video.wixstatic.com/video/4ea8bc_4a1e2f55b3864300b8df1d45077792c0/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;3;https://video.wixstatic.com/video/4ea8bc_a7e750f3a0414a69a2d03df6f3484ad6/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;4;https://video.wixstatic.com/video/4ea8bc_6a267e3539404775a1940a1b2c1ced74/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;5;https://video.wixstatic.com/video/4ea8bc_7b3f0794fcb14d81a2f7de18467bf7a9/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;6;https://video.wixstatic.com/video/4ea8bc_d1f3c88e3c6747c5b16755657f57192f/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;7;https://video.wixstatic.com/video/4ea8bc_3b0da093ca92445693606cefeefe92d0/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;8;https://video.wixstatic.com/video/4ea8bc_58cd0e056da14c4c94e22d54b75c18df/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;9;https://video.wixstatic.com/video/4ea8bc_25b5425ff10d4084aa19b65b4b54716f/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;10;https://video.wixstatic.com/video/4ea8bc_5f2d1f78ac0e4ecab324115c6f1ba383/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;11;https://video.wixstatic.com/video/4ea8bc_baf3c68745524d42961b333d4bc1577a/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;12;https://video.wixstatic.com/video/4ea8bc_3f9e3172c11a4e23bce820c2b2277dfb/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;13;https://video.wixstatic.com/video/4ea8bc_c21cdcf3026c45cd84b7ecb916523473/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;14;https://video.wixstatic.com/video/4ea8bc_2079ad757407432e8ac8dce01b92af58/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;15;https://video.wixstatic.com/video/4ea8bc_016e43975c3540e89c4d154b231ab9e5/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;16;https://video.wixstatic.com/video/4ea8bc_018fef087c84422aa60d0e8db7be07ce/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;17;https://video.wixstatic.com/video/4ea8bc_e29847b8ba4e49c085f784f24b9da5eb/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;18;https://video.wixstatic.com/video/4ea8bc_d2a5bdb44eb142c58ecb0a12ef7c2213/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;19;https://video.wixstatic.com/video/4ea8bc_8b865b2a7f81456abf0b565250c54121/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;20;https://video.wixstatic.com/video/4ea8bc_11f00f1d72a149e6bfb8f99c887d12c5/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;21;https://video.wixstatic.com/video/4ea8bc_00b80570865d42cdb200f7924f7b9fd3/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;22;https://video.wixstatic.com/video/4ea8bc_d0cab92441354ced9761b3a337d3cf35/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;23;https://video.wixstatic.com/video/4ea8bc_935f8627d0d14661a8bc6247477c3638/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;24;https://video.wixstatic.com/video/4ea8bc_bf65b1bac24242cd8c8d92b492171da8/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;25;https://video.wixstatic.com/video/4ea8bc_ff23355b490a4fa6b767e69ea904aa2f/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;26;https://video.wixstatic.com/video/4ea8bc_561f1f85cc084dc88efc3360a07fb287/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;27;https://video.wixstatic.com/video/4ea8bc_68a01010faf446148ed4c49d180de608/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;28;https://video.wixstatic.com/video/4ea8bc_045c8962999e4b73a3df24e0bc3df00e/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;29;https://video.wixstatic.com/video/4ea8bc_e9b3930377084a2597139a6c738b97b2/720p/mp4/file.mp4;DIPLOMADOS
